Sample_ID	pmi	predicted	rat1	rat2	method
PMI_rat_blood_27A	45	46.779978355333824	PMI_rat_blood_49A	PMI_rat_blood_27A	Lasso
PMI_rat_blood_27A	45	47.768075128369574	PMI_rat_blood_49A	PMI_rat_blood_27A	Lasso
PMI_rat_blood_52A	95	94.06342453584205	PMI_rat_blood_49A	PMI_rat_blood_52A	Lasso
PMI_rat_blood_32A	49	57.8390981587744	PMI_rat_blood_49A	PMI_rat_blood_32A	Lasso
PMI_rat_blood_32A	49	60.57445986672516	PMI_rat_blood_49A	PMI_rat_blood_32A	Lasso
PMI_rat_blood_30A	47	46.908027237713824	PMI_rat_blood_49A	PMI_rat_blood_30A	Lasso
PMI_rat_blood_19A	24	26.096460333134647	PMI_rat_blood_49A	PMI_rat_blood_19A	Lasso
PMI_rat_blood_18A	23	24.673645390406282	PMI_rat_blood_49A	PMI_rat_blood_18A	Lasso
PMI_rat_blood_2A	0	-1.2559211016522078	PMI_rat_blood_49A	PMI_rat_blood_2A	Lasso
PMI_rat_blood_3A	0	-2.486111451828743	PMI_rat_blood_49A	PMI_rat_blood_3A	Lasso
PMI_rat_blood_3A	0	-2.890022111292737	PMI_rat_blood_49A	PMI_rat_blood_3A	Lasso
PMI_rat_blood_42A	72	68.2172033479489	PMI_rat_blood_49A	PMI_rat_blood_42A	Lasso
PMI_rat_blood_42A	72	68.37106974908457	PMI_rat_blood_49A	PMI_rat_blood_42A	Lasso
PMI_rat_blood_5A	0	0.00983814827832416	PMI_rat_blood_49A	PMI_rat_blood_5A	Lasso
PMI_rat_blood_5A	0	1.068642496723707	PMI_rat_blood_49A	PMI_rat_blood_5A	Lasso
PMI_rat_blood_8A	0	-1.0026087904739023	PMI_rat_blood_49A	PMI_rat_blood_8A	Lasso
PMI_rat_blood_8A	0	-2.367779665750013	PMI_rat_blood_49A	PMI_rat_blood_8A	Lasso
PMI_rat_blood_1A	0	-1.7353821954840936	PMI_rat_blood_49A	PMI_rat_blood_1A	Lasso
PMI_rat_blood_39A	69	66.74379874683706	PMI_rat_blood_49A	PMI_rat_blood_39A	Lasso
PMI_rat_blood_26A	45	40.81137326714999	PMI_rat_blood_49A	PMI_rat_blood_26A	Lasso
PMI_rat_blood_13A	24	26.567702194080773	PMI_rat_blood_49A	PMI_rat_blood_13A	Lasso
PMI_rat_blood_13A	24	26.56518188889393	PMI_rat_blood_49A	PMI_rat_blood_13A	Lasso
PMI_rat_blood_41A	72	76.3589889163015	PMI_rat_blood_49A	PMI_rat_blood_41A	Lasso
PMI_rat_blood_6A	0	10.631302003540203	PMI_rat_blood_49A	PMI_rat_blood_6A	Lasso
