name	mz	mzmin	mzmax	rt	rtmin	rtmax	npeaks	isotopes	adduct	pcgroup	group1	group2	ms_level
M118T38	118.086083176494	118.084325235896	118.086668616037	37.933779951348903	36.6991894336822	44.110600346386398	363	[40][M]+	NA	20	182	181	1
M127T149	127.049334501682	127.047990099554	127.051376024386	148.54177134660699	144.267892859456	163.185473849527	286	NA	NA	90	130	142	1
M298T270	298.09657662082202	298.09369938907503	298.09820062175601	269.57654617519103	266.35130354570202	271.58137830533002	352	[108][M]+	NA	94	176	176	1
M238T373	238.10658472985301	238.104527718935	238.108895838618	373.40428545498003	371.71879592725003	376.095863992646	275	NA	NA	212	135	140	1
M312T250	312.129422541726	312.12531987129302	312.13078449803203	249.593051524402	242.409012564471	253.40601599502801	288	NA	NA	179	141	145	1
M258T36	258.10910701069503	258.10642215800402	258.11113262474902	36.3724689734523	34.556373117805599	44.029503164054802	361	[95][M]+	NA	47	177	178	1
M281T268	281.112532042601	281.109054551795	281.113558406219	267.80441947718202	261.94910128941001	269.98978488882301	213	NA	NA	143	93	120	1
M220T248	220.11820414928201	220.116112890067	220.11917808259901	248.146051580397	247.07091236667699	260.21567602324001	365	[84][M]+	NA	72	177	177	1
M121T114	121.04981101414501	121.049101217553	121.050412746475	113.981161581425	104.79243482413	118.406557625191	237	NA	NA	6	117	118	1
M253T214	253.092301115152	253.09029277289801	253.09414756573	214.43062349540401	205.55641213188801	223.22808032800401	276	NA	NA	146	132	143	1
M147T29	147.111965934409	147.110518593623	147.112941029571	29.4258939048405	26.771753208772299	36.031074445690102	452	[62][M]+	NA	40	174	176	1
M156T34	156.07577149892199	156.074380802946	156.077385093093	33.979760306701003	29.4044056197991	35.796843064465001	347	[68][M]+	NA	68	171	175	1
M146T40	146.11642169236799	146.11523308307	146.117284981632	40.1949092815901	39.050826133395297	41.5111095845809	353	NA	NA	9	176	177	1
M203T42	203.14902267321901	203.146733670717	203.149912077458	41.537881273144897	40.581306994778203	43.957518558808097	336	NA	NA	25	167	169	1
M205T260	205.097422377616	205.09331087352899	205.09797429333599	260.22352660241501	250.977916950701	268.73082234428603	362	[82][M]+	NA	33	177	177	1
