Sample_ID	pmi	predicted	rat1	rat2	method
PMI_rat_blood_49A	94	75.48614761904761	PMI_rat_blood_31A	PMI_rat_blood_49A	Random Forest
PMI_rat_blood_49A	94	75.538	PMI_rat_blood_31A	PMI_rat_blood_49A	Random Forest
PMI_rat_blood_15A	21	22.226433333333343	PMI_rat_blood_31A	PMI_rat_blood_15A	Random Forest
PMI_rat_blood_6A	0	7.6932	PMI_rat_blood_31A	PMI_rat_blood_6A	Random Forest
PMI_rat_blood_12A	22	22.5490238095238	PMI_rat_blood_31A	PMI_rat_blood_12A	Random Forest
PMI_rat_blood_11A	0	5.253966666666666	PMI_rat_blood_31A	PMI_rat_blood_11A	Random Forest
PMI_rat_blood_27A	45	45.0638047619047	PMI_rat_blood_31A	PMI_rat_blood_27A	Random Forest
PMI_rat_blood_27A	45	43.63259523809517	PMI_rat_blood_31A	PMI_rat_blood_27A	Random Forest
PMI_rat_blood_42A	72	75.8597	PMI_rat_blood_31A	PMI_rat_blood_42A	Random Forest
PMI_rat_blood_42A	72	74.99213333333333	PMI_rat_blood_31A	PMI_rat_blood_42A	Random Forest
PMI_rat_blood_51A	96	92.81749999999998	PMI_rat_blood_31A	PMI_rat_blood_51A	Random Forest
PMI_rat_blood_23A	45	45.396666666666654	PMI_rat_blood_31A	PMI_rat_blood_23A	Random Forest
PMI_rat_blood_23A	45	47.509333333333316	PMI_rat_blood_31A	PMI_rat_blood_23A	Random Forest
PMI_rat_blood_40A	71	58.55296666666666	PMI_rat_blood_31A	PMI_rat_blood_40A	Random Forest
PMI_rat_blood_3A	0	0	PMI_rat_blood_31A	PMI_rat_blood_3A	Random Forest
PMI_rat_blood_3A	0	2.841938095238095	PMI_rat_blood_31A	PMI_rat_blood_3A	Random Forest
PMI_rat_blood_26A	45	42.05166666666667	PMI_rat_blood_31A	PMI_rat_blood_26A	Random Forest
PMI_rat_blood_36A	70	79.43691904761897	PMI_rat_blood_31A	PMI_rat_blood_36A	Random Forest
PMI_rat_blood_35A	70	69.01343333333334	PMI_rat_blood_31A	PMI_rat_blood_35A	Random Forest
PMI_rat_blood_33A	71	72.5519	PMI_rat_blood_31A	PMI_rat_blood_33A	Random Forest
PMI_rat_blood_13A	24	25.68226666666667	PMI_rat_blood_31A	PMI_rat_blood_13A	Random Forest
PMI_rat_blood_13A	24	25.9485	PMI_rat_blood_31A	PMI_rat_blood_13A	Random Forest
PMI_rat_blood_16A	22	22.270509523809505	PMI_rat_blood_31A	PMI_rat_blood_16A	Random Forest
