name	mz	mzmin	mzmax	rt	rtmin	rtmax	npeaks	isotopes	adduct	pcgroup	group1	group2	ms_level
M312T250	312.129422541726	312.12531987129302	312.13078449803203	249.593051524402	242.409012564471	253.40601599502801	288	NA	NA	179	141	145	1
M176T37	176.10177745956	176.099970159854	176.103735108775	36.714439577693298	35.962121195591799	38.542729458699498	338	NA	NA	47	167	171	1
M147T29	147.111965934409	147.110518593623	147.112941029571	29.4258939048405	26.771753208772299	36.031074445690102	452	[62][M]+	NA	40	174	176	1
M127T149	127.049334501682	127.047990099554	127.051376024386	148.54177134660699	144.267892859456	163.185473849527	286	NA	NA	90	130	142	1
M253T214	253.092301115152	253.09029277289801	253.09414756573	214.43062349540401	205.55641213188801	223.22808032800401	276	NA	NA	146	132	143	1
M175T34	175.117981085211	175.11423403992799	175.119013555279	33.7960187919007	28.592348872495599	35.547162226150199	356	[78][M]+	NA	68	177	178	1
M106T35	106.048729755827	106.048172511904	106.04956414847101	35.1856860448395	33.912210140933098	36.827159014789203	317	NA	NA	28	155	162	1
M409T260	409.18587565693502	409.17977298588801	409.18710086578301	260.32029819113501	255.81553295863401	271.44663041451503	349	[155][M]+	NA	33	174	174	1
M220T248	220.11820414928201	220.116112890067	220.11917808259901	248.146051580397	247.07091236667699	260.21567602324001	365	[84][M]+	NA	72	177	177	1
M204T58	204.12270632397301	204.11928160033901	204.12426284784601	58.318091332707702	51.744536800648298	64.0045614833938	334	[81][M]+	NA	35	172	159	1
M112T29	112.086122640723	112.084359027567	112.086984621716	29.0766508842276	26.835453894638	37.391049264061003	313	NA	NA	40	154	157	1
