Sample_ID	pmi	predicted	rat1	rat2	method
PMI_rat_brain_4A	0	-0.04208844015361894	PMI_rat_brain_18A	PMI_rat_brain_4A	Lasso
PMI_rat_brain_4A	0	-0.8138145892420438	PMI_rat_brain_18A	PMI_rat_brain_4A	Lasso
PMI_rat_brain_23A	45	45.7051591768746	PMI_rat_brain_18A	PMI_rat_brain_23A	Lasso
PMI_rat_brain_23A	45	45.19958514487261	PMI_rat_brain_18A	PMI_rat_brain_23A	Lasso
PMI_rat_brain_33A	71	68.43932570362307	PMI_rat_brain_18A	PMI_rat_brain_33A	Lasso
PMI_rat_brain_45A	96	104.3161095868894	PMI_rat_brain_18A	PMI_rat_brain_45A	Lasso
PMI_rat_brain_27A	45	41.530000892803805	PMI_rat_brain_18A	PMI_rat_brain_27A	Lasso
PMI_rat_brain_27A	45	41.209831581344616	PMI_rat_brain_18A	PMI_rat_brain_27A	Lasso
PMI_rat_brain_36A	70	83.86587375209665	PMI_rat_brain_18A	PMI_rat_brain_36A	Lasso
PMI_rat_brain_32A	49	53.56372403684335	PMI_rat_brain_18A	PMI_rat_brain_32A	Lasso
PMI_rat_brain_32A	49	53.13151047404713	PMI_rat_brain_18A	PMI_rat_brain_32A	Lasso
PMI_rat_brain_9A	0	0.41705096868610686	PMI_rat_brain_18A	PMI_rat_brain_9A	Lasso
PMI_rat_brain_7A	0	-2.8166563678646233	PMI_rat_brain_18A	PMI_rat_brain_7A	Lasso
PMI_rat_brain_47A	95	83.94619520703243	PMI_rat_brain_18A	PMI_rat_brain_47A	Lasso
PMI_rat_brain_49A	94	92.51025791534222	PMI_rat_brain_18A	PMI_rat_brain_49A	Lasso
PMI_rat_brain_8A	0	-0.3728205222936659	PMI_rat_brain_18A	PMI_rat_brain_8A	Lasso
PMI_rat_brain_40A	71	70.11872773586559	PMI_rat_brain_18A	PMI_rat_brain_40A	Lasso
PMI_rat_brain_50A	97	96.85325312444036	PMI_rat_brain_18A	PMI_rat_brain_50A	Lasso
PMI_rat_brain_50A	97	99.01555423975749	PMI_rat_brain_18A	PMI_rat_brain_50A	Lasso
PMI_rat_brain_1A	0	2.6373919271458233	PMI_rat_brain_18A	PMI_rat_brain_1A	Lasso
PMI_rat_brain_1A	0	2.4768533095076433	PMI_rat_brain_18A	PMI_rat_brain_1A	Lasso
PMI_rat_brain_34A	69	72.76398406069976	PMI_rat_brain_18A	PMI_rat_brain_34A	Lasso
PMI_rat_brain_30A	47	47.24081075012496	PMI_rat_brain_18A	PMI_rat_brain_30A	Lasso
PMI_rat_brain_2A	0	2.102099744054227	PMI_rat_brain_18A	PMI_rat_brain_2A	Lasso
PMI_rat_brain_6A	0	-0.1172359498734532	PMI_rat_brain_18A	PMI_rat_brain_6A	Lasso
PMI_rat_brain_6A	0	0.06421955463494033	PMI_rat_brain_18A	PMI_rat_brain_6A	Lasso
PMI_rat_brain_19A	24	23.598276604323114	PMI_rat_brain_18A	PMI_rat_brain_19A	Lasso
PMI_rat_brain_51A	96	93.14954170465579	PMI_rat_brain_18A	PMI_rat_brain_51A	Lasso
PMI_rat_brain_44A	93	90.79838130278492	PMI_rat_brain_18A	PMI_rat_brain_44A	Lasso
PMI_rat_brain_31A	47	46.655117427115236	PMI_rat_brain_18A	PMI_rat_brain_31A	Lasso
PMI_rat_brain_24A	46	46.90979063386807	PMI_rat_brain_18A	PMI_rat_brain_24A	Lasso
PMI_rat_brain_5A	0	-0.6539295630923031	PMI_rat_brain_18A	PMI_rat_brain_5A	Lasso
PMI_rat_brain_37A	72	72.59314070918636	PMI_rat_brain_18A	PMI_rat_brain_37A	Lasso
PMI_rat_brain_37A	72	73.4486340390192	PMI_rat_brain_18A	PMI_rat_brain_37A	Lasso
PMI_rat_brain_14A	23	20.78378591764604	PMI_rat_brain_18A	PMI_rat_brain_14A	Lasso
PMI_rat_brain_14A	23	22.304781234721435	PMI_rat_brain_18A	PMI_rat_brain_14A	Lasso
PMI_rat_brain_3A	0	1.2290055112849192	PMI_rat_brain_18A	PMI_rat_brain_3A	Lasso
PMI_rat_brain_22A	22	17.018563715824868	PMI_rat_brain_18A	PMI_rat_brain_22A	Lasso
PMI_rat_brain_26A	45	45.15315278564938	PMI_rat_brain_18A	PMI_rat_brain_26A	Lasso
PMI_rat_brain_35A	70	73.03113412622355	PMI_rat_brain_18A	PMI_rat_brain_35A	Lasso
PMI_rat_brain_35A	70	74.01362618160215	PMI_rat_brain_18A	PMI_rat_brain_35A	Lasso
PMI_rat_brain_25A	48	47.15650407662779	PMI_rat_brain_18A	PMI_rat_brain_25A	Lasso
PMI_rat_brain_42A	72	70.96421296866808	PMI_rat_brain_18A	PMI_rat_brain_42A	Lasso
PMI_rat_brain_10A	0	-1.3757705882401365	PMI_rat_brain_18A	PMI_rat_brain_10A	Lasso
PMI_rat_brain_28A	47	50.19127035146724	PMI_rat_brain_18A	PMI_rat_brain_28A	Lasso
PMI_rat_brain_39A	69	71.29127109343553	PMI_rat_brain_18A	PMI_rat_brain_39A	Lasso
PMI_rat_brain_39A	69	67.27610218622905	PMI_rat_brain_18A	PMI_rat_brain_39A	Lasso
PMI_rat_brain_17A	23	17.293720157341802	PMI_rat_brain_18A	PMI_rat_brain_17A	Lasso
PMI_rat_brain_12A	22	24.75946690877953	PMI_rat_brain_18A	PMI_rat_brain_12A	Lasso
PMI_rat_brain_20A	25	24.271959253336	PMI_rat_brain_18A	PMI_rat_brain_20A	Lasso
PMI_rat_brain_38A	71	69.24199320005124	PMI_rat_brain_18A	PMI_rat_brain_38A	Lasso
PMI_rat_brain_11A	0	-0.52365067824584	PMI_rat_brain_18A	PMI_rat_brain_11A	Lasso
PMI_rat_brain_48A	95	87.44874033638328	PMI_rat_brain_18A	PMI_rat_brain_48A	Lasso
PMI_rat_brain_46A	93	91.47248180887999	PMI_rat_brain_18A	PMI_rat_brain_46A	Lasso
PMI_rat_brain_15A	21	27.05872009929991	PMI_rat_brain_18A	PMI_rat_brain_15A	Lasso
PMI_rat_brain_21A	25	26.562964684183704	PMI_rat_brain_18A	PMI_rat_brain_21A	Lasso
PMI_rat_brain_21A	25	25.222419517280304	PMI_rat_brain_18A	PMI_rat_brain_21A	Lasso
PMI_rat_brain_13A	24	25.273496173772596	PMI_rat_brain_18A	PMI_rat_brain_13A	Lasso
PMI_rat_brain_41A	72	75.2615045470969	PMI_rat_brain_18A	PMI_rat_brain_41A	Lasso
PMI_rat_brain_41A	72	73.12826266697793	PMI_rat_brain_18A	PMI_rat_brain_41A	Lasso
PMI_rat_brain_52A	95	89.66794658331632	PMI_rat_brain_18A	PMI_rat_brain_52A	Lasso
PMI_rat_brain_29A	47	50.37676954986543	PMI_rat_brain_18A	PMI_rat_brain_29A	Lasso
PMI_rat_brain_16A	22	22.34607139712374	PMI_rat_brain_18A	PMI_rat_brain_16A	Lasso
PMI_rat_brain_43A	94	91.56501560502458	PMI_rat_brain_18A	PMI_rat_brain_43A	Lasso
PMI_rat_brain_18A	23	20.376184188727127	PMI_rat_brain_4A	PMI_rat_brain_18A	Lasso
PMI_rat_brain_23A	45	45.2840682029494	PMI_rat_brain_4A	PMI_rat_brain_23A	Lasso
PMI_rat_brain_23A	45	46.37525998110226	PMI_rat_brain_4A	PMI_rat_brain_23A	Lasso
PMI_rat_brain_33A	71	67.99079428477819	PMI_rat_brain_4A	PMI_rat_brain_33A	Lasso
PMI_rat_brain_45A	96	104.531282716405	PMI_rat_brain_4A	PMI_rat_brain_45A	Lasso
PMI_rat_brain_27A	45	40.977060127109475	PMI_rat_brain_4A	PMI_rat_brain_27A	Lasso
PMI_rat_brain_27A	45	40.62854441186276	PMI_rat_brain_4A	PMI_rat_brain_27A	Lasso
PMI_rat_brain_36A	70	83.91147886222657	PMI_rat_brain_4A	PMI_rat_brain_36A	Lasso
PMI_rat_brain_32A	49	54.38029689661162	PMI_rat_brain_4A	PMI_rat_brain_32A	Lasso
PMI_rat_brain_32A	49	53.11098022721255	PMI_rat_brain_4A	PMI_rat_brain_32A	Lasso
PMI_rat_brain_9A	0	-0.05996999710714626	PMI_rat_brain_4A	PMI_rat_brain_9A	Lasso
PMI_rat_brain_7A	0	-2.944427811412411	PMI_rat_brain_4A	PMI_rat_brain_7A	Lasso
PMI_rat_brain_47A	95	83.36279215572904	PMI_rat_brain_4A	PMI_rat_brain_47A	Lasso
PMI_rat_brain_49A	94	93.04104723770847	PMI_rat_brain_4A	PMI_rat_brain_49A	Lasso
PMI_rat_brain_8A	0	-0.5541534162357107	PMI_rat_brain_4A	PMI_rat_brain_8A	Lasso
PMI_rat_brain_40A	71	70.04610633707689	PMI_rat_brain_4A	PMI_rat_brain_40A	Lasso
PMI_rat_brain_50A	97	97.86970038124281	PMI_rat_brain_4A	PMI_rat_brain_50A	Lasso
PMI_rat_brain_50A	97	100.03726595232932	PMI_rat_brain_4A	PMI_rat_brain_50A	Lasso
PMI_rat_brain_1A	0	2.737732870997842	PMI_rat_brain_4A	PMI_rat_brain_1A	Lasso
PMI_rat_brain_1A	0	2.654337916784234	PMI_rat_brain_4A	PMI_rat_brain_1A	Lasso
PMI_rat_brain_34A	69	75.14073014755596	PMI_rat_brain_4A	PMI_rat_brain_34A	Lasso
PMI_rat_brain_30A	47	49.14133321913163	PMI_rat_brain_4A	PMI_rat_brain_30A	Lasso
PMI_rat_brain_2A	0	1.9362592733181685	PMI_rat_brain_4A	PMI_rat_brain_2A	Lasso
PMI_rat_brain_6A	0	-0.16362800755162546	PMI_rat_brain_4A	PMI_rat_brain_6A	Lasso
PMI_rat_brain_6A	0	-0.045819654565072254	PMI_rat_brain_4A	PMI_rat_brain_6A	Lasso
PMI_rat_brain_19A	24	23.86397825916101	PMI_rat_brain_4A	PMI_rat_brain_19A	Lasso
PMI_rat_brain_51A	96	93.0724769988138	PMI_rat_brain_4A	PMI_rat_brain_51A	Lasso
PMI_rat_brain_44A	93	90.99196603063746	PMI_rat_brain_4A	PMI_rat_brain_44A	Lasso
PMI_rat_brain_31A	47	45.929340781972634	PMI_rat_brain_4A	PMI_rat_brain_31A	Lasso
