name	mz	mzmin	mzmax	rt	rtmin	rtmax	npeaks	isotopes	adduct	pcgroup	group1	group2	ms_level
M176T37	176.10177745956	176.099970159854	176.103735108775	36.714439577693298	35.962121195591799	38.542729458699498	338	NA	NA	47	167	171	1
M184T35	184.072123344858	184.07039074249701	184.074272934476	35.350865259407399	33.6600767417223	36.3679202744446	352	NA	NA	28	176	176	1
M312T250	312.129422541726	312.12531987129302	312.13078449803203	249.593051524402	242.409012564471	253.40601599502801	288	NA	NA	179	141	145	1
M112T29	112.086122640723	112.084359027567	112.086984621716	29.0766508842276	26.835453894638	37.391049264061003	313	NA	NA	40	154	157	1
M127T149	127.049334501682	127.047990099554	127.051376024386	148.54177134660699	144.267892859456	163.185473849527	286	NA	NA	90	130	142	1
M147T29	147.111965934409	147.110518593623	147.112941029571	29.4258939048405	26.771753208772299	36.031074445690102	452	[62][M]+	NA	40	174	176	1
M384T249	384.11447664555601	384.10948036641003	384.11591697461103	248.97125572013201	247.824700184287	254.79896011172201	353	[143][M]+	NA	116	176	176	1
M205T260	205.097422377616	205.09331087352899	205.09797429333599	260.22352660241501	250.977916950701	268.73082234428603	362	[82][M]+	NA	33	177	177	1
M409T260	409.18587565693502	409.17977298588801	409.18710086578301	260.32029819113501	255.81553295863401	271.44663041451503	349	[155][M]+	NA	33	174	174	1
M136T57	136.060892634157	136.05959068820201	136.061680043021	57.052071757975298	44.256291201522401	61.937053527590301	325	NA	NA	27	148	140	1
M118T55	118.08604938843	118.084914498167	118.08676129303301	54.636268179356698	46.401027419200901	59.773314295890401	361	[41][M]+	NA	22	180	177	1
M116T42	116.07039850612	116.069189734031	116.071137645956	41.962620445595498	40.468985950145601	49.7047323331158	356	[37][M]+	NA	25	177	178	1
M175T34	175.117981085211	175.11423403992799	175.119013555279	33.7960187919007	28.592348872495599	35.547162226150199	356	[78][M]+	NA	68	177	178	1
M245T117	245.076065173014	245.07410675699001	245.07722170485999	116.747868275976	97.762022613527606	128.87079392851899	280	NA	NA	171	129	130	1
M120T36	120.064560475701	120.063455612396	120.065040498418	35.963296710257303	34.9404203411002	37.076012795418002	355	[42][M]+	NA	36	177	178	1
