Sample_ID	pmi	predicted	rat1	rat2	method
PMI_rat_brain_51A	96	90.28033333333333	PMI_rat_brain_15A	PMI_rat_brain_51A	Random Forest
PMI_rat_brain_13A	24	25.167000000000005	PMI_rat_brain_15A	PMI_rat_brain_13A	Random Forest
PMI_rat_brain_9A	0	0.6783047619047619	PMI_rat_brain_15A	PMI_rat_brain_9A	Random Forest
PMI_rat_brain_3A	0	0	PMI_rat_brain_15A	PMI_rat_brain_3A	Random Forest
PMI_rat_brain_4A	0	8.209519047619043	PMI_rat_brain_15A	PMI_rat_brain_4A	Random Forest
PMI_rat_brain_4A	0	7.334704761904758	PMI_rat_brain_15A	PMI_rat_brain_4A	Random Forest
PMI_rat_brain_27A	45	46.33040476190479	PMI_rat_brain_15A	PMI_rat_brain_27A	Random Forest
PMI_rat_brain_27A	45	46.093061904761925	PMI_rat_brain_15A	PMI_rat_brain_27A	Random Forest
PMI_rat_brain_39A	69	70.28266666666667	PMI_rat_brain_15A	PMI_rat_brain_39A	Random Forest
PMI_rat_brain_39A	69	70.67566666666666	PMI_rat_brain_15A	PMI_rat_brain_39A	Random Forest
PMI_rat_brain_47A	95	93.33766666666666	PMI_rat_brain_15A	PMI_rat_brain_47A	Random Forest
PMI_rat_brain_29A	47	45.505333333333304	PMI_rat_brain_15A	PMI_rat_brain_29A	Random Forest
PMI_rat_brain_41A	72	74.71566666666669	PMI_rat_brain_15A	PMI_rat_brain_41A	Random Forest
PMI_rat_brain_41A	72	73.64033333333333	PMI_rat_brain_15A	PMI_rat_brain_41A	Random Forest
PMI_rat_brain_1A	0	0.55	PMI_rat_brain_15A	PMI_rat_brain_1A	Random Forest
PMI_rat_brain_1A	0	0.502	PMI_rat_brain_15A	PMI_rat_brain_1A	Random Forest
PMI_rat_brain_30A	47	44.72966666666663	PMI_rat_brain_15A	PMI_rat_brain_30A	Random Forest
PMI_rat_brain_37A	72	72.86356666666666	PMI_rat_brain_15A	PMI_rat_brain_37A	Random Forest
PMI_rat_brain_37A	72	74.80486666666663	PMI_rat_brain_15A	PMI_rat_brain_37A	Random Forest
PMI_rat_brain_35A	70	65.00633333333333	PMI_rat_brain_15A	PMI_rat_brain_35A	Random Forest
PMI_rat_brain_35A	70	71.56933333333332	PMI_rat_brain_15A	PMI_rat_brain_35A	Random Forest
PMI_rat_brain_36A	70	84.29666666666668	PMI_rat_brain_15A	PMI_rat_brain_36A	Random Forest
PMI_rat_brain_14A	23	23.16400000000001	PMI_rat_brain_15A	PMI_rat_brain_14A	Random Forest
PMI_rat_brain_14A	23	23.464333333333336	PMI_rat_brain_15A	PMI_rat_brain_14A	Random Forest
PMI_rat_brain_12A	22	27.038804761904736	PMI_rat_brain_15A	PMI_rat_brain_12A	Random Forest
PMI_rat_brain_19A	24	25.661466666666655	PMI_rat_brain_15A	PMI_rat_brain_19A	Random Forest
PMI_rat_brain_25A	48	46.12851904761901	PMI_rat_brain_15A	PMI_rat_brain_25A	Random Forest
PMI_rat_brain_11A	0	0	PMI_rat_brain_15A	PMI_rat_brain_11A	Random Forest
PMI_rat_brain_23A	45	48.13700000000001	PMI_rat_brain_15A	PMI_rat_brain_23A	Random Forest
PMI_rat_brain_23A	45	47.927333333333365	PMI_rat_brain_15A	PMI_rat_brain_23A	Random Forest
PMI_rat_brain_40A	71	71.70272380952377	PMI_rat_brain_15A	PMI_rat_brain_40A	Random Forest
PMI_rat_brain_43A	94	92.75	PMI_rat_brain_15A	PMI_rat_brain_43A	Random Forest
PMI_rat_brain_44A	93	89.71708571428579	PMI_rat_brain_15A	PMI_rat_brain_44A	Random Forest
PMI_rat_brain_46A	93	94.59746666666673	PMI_rat_brain_15A	PMI_rat_brain_46A	Random Forest
PMI_rat_brain_42A	72	68.08466666666666	PMI_rat_brain_15A	PMI_rat_brain_42A	Random Forest
PMI_rat_brain_32A	49	48.759000000000015	PMI_rat_brain_15A	PMI_rat_brain_32A	Random Forest
PMI_rat_brain_32A	49	48.709666666666664	PMI_rat_brain_15A	PMI_rat_brain_32A	Random Forest
PMI_rat_brain_21A	25	24.316566666666684	PMI_rat_brain_15A	PMI_rat_brain_21A	Random Forest
PMI_rat_brain_21A	25	23.72650000000002	PMI_rat_brain_15A	PMI_rat_brain_21A	Random Forest
PMI_rat_brain_38A	71	70.08383333333332	PMI_rat_brain_15A	PMI_rat_brain_38A	Random Forest
PMI_rat_brain_6A	0	0	PMI_rat_brain_15A	PMI_rat_brain_6A	Random Forest
PMI_rat_brain_6A	0	0	PMI_rat_brain_15A	PMI_rat_brain_6A	Random Forest
PMI_rat_brain_50A	97	83.02899999999998	PMI_rat_brain_15A	PMI_rat_brain_50A	Random Forest
PMI_rat_brain_50A	97	83.23733333333332	PMI_rat_brain_15A	PMI_rat_brain_50A	Random Forest
PMI_rat_brain_10A	0	0.092	PMI_rat_brain_15A	PMI_rat_brain_10A	Random Forest
PMI_rat_brain_8A	0	0.0892	PMI_rat_brain_15A	PMI_rat_brain_8A	Random Forest
PMI_rat_brain_7A	0	0	PMI_rat_brain_15A	PMI_rat_brain_7A	Random Forest
PMI_rat_brain_24A	46	44.3162238095238	PMI_rat_brain_15A	PMI_rat_brain_24A	Random Forest
PMI_rat_brain_17A	23	23.091566666666665	PMI_rat_brain_15A	PMI_rat_brain_17A	Random Forest
