Sample_ID	pmi	predicted	rat1	rat2	method
PMI_rat_muscle_44A	93	113.15527316231879	PMI_rat_muscle_29A	PMI_rat_muscle_44A	Lasso
PMI_rat_muscle_13A	24	25.676269823913586	PMI_rat_muscle_29A	PMI_rat_muscle_13A	Lasso
PMI_rat_muscle_13A	24	25.903727037054022	PMI_rat_muscle_29A	PMI_rat_muscle_13A	Lasso
PMI_rat_muscle_7A	0	-4.57855802161819	PMI_rat_muscle_29A	PMI_rat_muscle_7A	Lasso
PMI_rat_muscle_7A	0	-6.619964572295325	PMI_rat_muscle_29A	PMI_rat_muscle_7A	Lasso
PMI_rat_muscle_17A	23	22.17756968854162	PMI_rat_muscle_29A	PMI_rat_muscle_17A	Lasso
PMI_rat_muscle_1A	0	-0.3271389780717486	PMI_rat_muscle_29A	PMI_rat_muscle_1A	Lasso
PMI_rat_muscle_32A	49	47.910612573755245	PMI_rat_muscle_29A	PMI_rat_muscle_32A	Lasso
PMI_rat_muscle_32A	49	47.0041130550433	PMI_rat_muscle_29A	PMI_rat_muscle_32A	Lasso
PMI_rat_muscle_42A	72	74.16905626509353	PMI_rat_muscle_29A	PMI_rat_muscle_42A	Lasso
PMI_rat_muscle_42A	72	74.132997300691	PMI_rat_muscle_29A	PMI_rat_muscle_42A	Lasso
PMI_rat_muscle_47A	95	97.07445241636248	PMI_rat_muscle_29A	PMI_rat_muscle_47A	Lasso
PMI_rat_muscle_31A	47	36.87227361849721	PMI_rat_muscle_29A	PMI_rat_muscle_31A	Lasso
PMI_rat_muscle_38A	71	72.53376175255393	PMI_rat_muscle_29A	PMI_rat_muscle_38A	Lasso
PMI_rat_muscle_38A	71	72.26055073203635	PMI_rat_muscle_29A	PMI_rat_muscle_38A	Lasso
PMI_rat_muscle_4A	0	0.19943263690850654	PMI_rat_muscle_29A	PMI_rat_muscle_4A	Lasso
PMI_rat_muscle_30A	47	45.3654449472717	PMI_rat_muscle_29A	PMI_rat_muscle_30A	Lasso
PMI_rat_muscle_33A	71	69.33696795222735	PMI_rat_muscle_29A	PMI_rat_muscle_33A	Lasso
PMI_rat_muscle_35A	70	69.15569820974909	PMI_rat_muscle_29A	PMI_rat_muscle_35A	Lasso
PMI_rat_muscle_14A	23	25.15920530493131	PMI_rat_muscle_29A	PMI_rat_muscle_14A	Lasso
PMI_rat_muscle_22A	22	22.731878761028966	PMI_rat_muscle_29A	PMI_rat_muscle_22A	Lasso
PMI_rat_muscle_16A	22	21.019221608295187	PMI_rat_muscle_29A	PMI_rat_muscle_16A	Lasso
PMI_rat_muscle_16A	22	20.61456121690537	PMI_rat_muscle_29A	PMI_rat_muscle_16A	Lasso
PMI_rat_muscle_24A	46	39.84323487914478	PMI_rat_muscle_29A	PMI_rat_muscle_24A	Lasso
PMI_rat_muscle_37A	72	71.68380750705926	PMI_rat_muscle_29A	PMI_rat_muscle_37A	Lasso
PMI_rat_muscle_37A	72	73.21431048194624	PMI_rat_muscle_29A	PMI_rat_muscle_37A	Lasso
