name	mz	mzmin	mzmax	rt	rtmin	rtmax	npeaks	isotopes	adduct	pcgroup	group1	group2	ms_level
M312T250	312.129422541726	312.12531987129302	312.13078449803203	249.593051524402	242.409012564471	253.40601599502801	288	NA	NA	179	141	145	1
M104T35	104.106410116341	104.105766838119	104.107275945046	34.826103733697401	33.657310064210698	35.587846580255601	355	[31][M]+	NA	28	177	178	1
M205T260	205.097422377616	205.09331087352899	205.09797429333599	260.22352660241501	250.977916950701	268.73082234428603	362	[82][M]+	NA	33	177	177	1
M281T268	281.112532042601	281.109054551795	281.113558406219	267.80441947718202	261.94910128941001	269.98978488882301	213	NA	NA	143	93	120	1
M106T35	106.048729755827	106.048172511904	106.04956414847101	35.1856860448395	33.912210140933098	36.827159014789203	317	NA	NA	28	155	162	1
M244T57	244.09259867246001	244.089112700356	244.094246909406	56.895414479183103	53.280545219441599	76.877354890093997	305	NA	NA	27	123	121	1
M409T260	409.18587565693502	409.17977298588801	409.18710086578301	260.32029819113501	255.81553295863401	271.44663041451503	349	[155][M]+	NA	33	174	174	1
M253T214	253.092301115152	253.09029277289801	253.09414756573	214.43062349540401	205.55641213188801	223.22808032800401	276	NA	NA	146	132	143	1
M310T42	310.11215216316702	310.10934230520002	310.11492152125402	41.862994660982402	38.4216453295439	44.198369354961898	335	NA	NA	25	167	168	1
M203T42	203.14902267321901	203.146733670717	203.149912077458	41.537881273144897	40.581306994778203	43.957518558808097	336	NA	NA	25	167	169	1
M664T114	664.11538382801905	664.11167963712205	664.11804458052302	114.16638646508	104.215144371205	117.207546894893	290	[246][M]+	NA	6	137	152	1
M169T75	169.03487034345801	169.03345855360399	169.035666049562	74.614755902048302	67.039378744615206	84.186267228472005	314	NA	NA	104	153	159	1
M209T213	209.09138466702501	209.088746374425	209.096078190637	213.239258256049	202.21703797537	228.94239973997699	360	NA	NA	41	169	175	1
M489T41	489.112635483492	489.10869313202602	489.11753773462601	41.441532753112803	39.0051258780152	43.0163765793789	251	NA	NA	25	124	127	1
M204T58	204.12270632397301	204.11928160033901	204.12426284784601	58.318091332707702	51.744536800648298	64.0045614833938	334	[81][M]+	NA	35	172	159	1
