name	mz	mzmin	mzmax	rt	rtmin	rtmax	npeaks	isotopes	adduct	pcgroup	group1	group2	ms_level
M244T57	244.09259867246001	244.089112700356	244.094246909406	56.895414479183103	53.280545219441599	76.877354890093997	305	NA	NA	27	123	121	1
M245T117	245.076065173014	245.07410675699001	245.07722170485999	116.747868275976	97.762022613527606	128.87079392851899	280	NA	NA	171	129	130	1
M537T206	537.16844353685406	537.16473828054802	537.17264231602405	205.747936714302	191.457500706178	214.27705458803899	403	[188][M]+	NA	11	161	166	1
M269T206	269.088322769542	269.08484760470702	269.09181904985701	205.643950270022	191.707584959261	210.80614036534399	444	[98][M]+	NA	11	164	171	1
M312T250	312.129422541726	312.12531987129302	312.13078449803203	249.593051524402	242.409012564471	253.40601599502801	288	NA	NA	179	141	145	1
M241T34	241.127971464887	241.125675359741	241.130003366003	34.108695798736299	33.109038273070603	35.547162226150199	324	NA	NA	68	160	164	1
M298T270	298.09657662082202	298.09369938907503	298.09820062175601	269.57654617519103	266.35130354570202	271.58137830533002	352	[108][M]+	NA	94	176	176	1
M253T214	253.092301115152	253.09029277289801	253.09414756573	214.43062349540401	205.55641213188801	223.22808032800401	276	NA	NA	146	132	143	1
M263T40	263.14541926744403	263.138849928909	263.14696388398301	39.8938937191554	35.9830545235682	48.961143524624099	335	[97][M]+	NA	9	162	170	1
M664T114	664.11538382801905	664.11167963712205	664.11804458052302	114.16638646508	104.215144371205	117.207546894893	290	[246][M]+	NA	6	137	152	1
M104T35	104.106410116341	104.105766838119	104.107275945046	34.826103733697401	33.657310064210698	35.587846580255601	355	[31][M]+	NA	28	177	178	1
M489T41	489.112635483492	489.10869313202602	489.11753773462601	41.441532753112803	39.0051258780152	43.0163765793789	251	NA	NA	25	124	127	1
M324T47	324.05808336613501	324.05530688232102	324.06212765061503	46.660078766393703	39.140102287124002	49.215166751345699	377	NA	NA	75	168	166	1
M127T149	127.049334501682	127.047990099554	127.051376024386	148.54177134660699	144.267892859456	163.185473849527	286	NA	NA	90	130	142	1
M191T41	191.101389681488	191.099428027166	191.10769330132601	41.486679696573702	38.334059984170302	51.4256723487225	212	NA	NA	25	95	117	1
